word,definition,distractors,difficulty
declaration,tuyên ngôn,to abrogate|immense|microcosm,hard
dedicated,tận tụy,screw|midst|perilous,hard
dedication,sự tận tâm,dissolution|omen|pedagogy,hard
deed,văn bản,to culminate|constituency|kaleidoscope,hard
deem,coi,terrific|bishop|lesbian,hard
default,mặc định,to allude|ingenuity|pragmatist,hard
defect,khuyết điểm,amateur|legislative|ostentation,hard
defensive,phòng thủ,consultation|scourge|virtuoso,hard
deficiency,thiếu hụt,to dehort|frenzy|munition,hard
deficit,thâm hụt,renaissance|suite|haphazard,hard
defy,thách thức,cosmology|erotic|antidote,hard
delegate,đại biểu,arbitrary|parsimonious|proxy,hard
delegation,phái đoàn,donor|partially|emaciated,hard
delicate,thanh tú,humanity|malice|workout,hard
demon,quỷ,realization|foolhardiness|reliability,hard
denial,sự phủ nhận,oxymoron|stickler|magnanimous,hard
denounce,lên án,singular|to supplant|pique,hard
dense,dày đặc,perilous|disinterested|qualm,hard
density,Tỉ trọng,to transcend|telepathy|subversion,hard
dependence,sự phụ thuộc,twilight|hazard|frivolous,hard
depict,mô tả,bat|wrongdoer|unwitting,hard
deploy,triển khai,lamentable|pond|vortex,hard
deployment,triển khai,crux|accumulate|meditation,hard
deposit,tiền gửi,acrimony|acuity|complementary,hard
deprive,tước đoạt,to conjure|viable|conscience,hard
deputy,phó,confer|myriad|transcendence,hard
descend,xuống,embargo|sanctity|pungent,hard
descent,xuống,equivocal|dogged|nihilism,hard
designate,chỉ định,veracity|congregation|pitfall,hard
desirable,mong muốn,versus|supervision|advocate,hard
desktop,máy tính để bàn,vandalism|apprehension|solemnity,hard
destructive,phá hoại,parsimonious|contention|smattering,hard
detain,giam,inconceivable|rejection|tributary,hard
detection,phát hiện,solemn|benevolent|sovereign,hard
detention,giam giữ,to loathe|instrumental|ensue,hard
deteriorate,xấu đi,strategic|attorney|repercussion,hard
devastate,tàn phá,wheedling|to ruminate|quarantine,hard
devil,quỷ dữ,to incite|disastrous|blessing,hard
devise,thiết kế,to safeguard|to languish|to surmise,hard
diagnose,chẩn đoán,charlatan|corruption|diplomatic,hard
diagnosis,chẩn đoán,marquee|to extol|yoke,hard
dictate,ra lệnh,inflict|verve|hint,hard
dictator,nhà độc tài,preponderance|attribute|laser,hard
differentiate,phân biệt,to accredit|requisite|assault,hard
dignity,phẩm giá,disturbing|disrepute|didactic,hard
dilemma,tình huống khó xử,anonymous|preposterous|dedicated,hard
dimension,kích thước,foolhardiness|sumptuous|vigilante,hard
diminish,giảm bớt,encouragement|nihilism|hegemony,hard
dip,nhúng,betray|to entail|reassure,hard
diplomat,nhà ngoại giao,to coalesce|referendum|gambling,hard
diplomatic,ngoại giao,intriguing|hapless|confer,hard
directory,thư mục,kindred|quagmire|elation,hard
disastrous,thảm họa,remembrance|to ferret out|wasteland,hard
discard,loại bỏ,to culminate|undertaker|sequel,hard
discharge,phóng điện,philanthropic|monopoly|heinous,hard
disclose,tiết lộ,onerous|enrol|dignity,hard
disclosure,tiết lộ,dotage|dense|conserve,hard
discourse,diễn ngôn,crux|bail|theoretical,hard
discretion,quyền quyết định,endless|wanton|spurious,hard
discrimination,phân biệt,pensive|magnetic|commerce,hard
dismissal,sa thải,to embezzle|snare|meaningful,hard
displace,dịch chuyển,naval|derelict|acrimonious,hard
disposal,xử lý,instruct|inimical|nod,hard
dispose,xử lý,entity|exuberant|to fathom,hard
dispute,tranh luận,enact|strident|accolade,hard
disrupt,làm gián đoạn,experimental|temperance|accumulate,hard
disruption,sự gián đoạn,utilize|instruct|peasant,hard
dissolve,hòa tan,recklessness|insatiable|discrepancy,hard
distinction,sự phân biệt,inquisition|texture|predecessor,hard
distinctive,đặc biệt,worthy|shambles|counsellor,hard
distort,biến dạng,opacity|pretext|futility,hard
distress,đau khổ,pavilion|shrink|embody,hard
disturbing,đáng lo ngại,texture|relic|intervene,hard
divert,chuyển hướng,deluge|scathing|hitherto,hard
divine,thần thánh,barrage|ballast|underworld,hard
doctrine,học thuyết,subtle|coordinator|populism,hard
documentation,tài liệu,unfathomable|inquisition|reprimand,hard
domain,lãnh địa,allegation|to hoard|indulge,hard
dominance,sự thống trị,conscience|hedonistic|simpleton,hard
donor,người hiến tặng,calibre|erstwhile|despondency,hard
dose,liều lượng,ignominy|spark|travesty,hard
drain,làm khô hạn,lampoon|to loathe|log,hard
drift,trôi dạt,capitalism|stereotype|equivocal,hard
driving,lái xe,sustain|germane|xenophobe,hard
drown,chết đuối,apostle|irrelevant|diplomat,hard
dual,hai,grace|to glean|uniformity,hard
dub,lồng tiếng,consensus|hail|maestro,hard
dumb,câm,to preempt|establishment|undercurrent,hard
duo,cặp đôi,maximize|widow|herbivore,hard
dynamic,năng động,vacancy|disrupt|cordial,hard
eager,háo hức,phoenix|resolutely|refusal,hard
earnings,thu nhập,persistent|eager|to quash,hard
ease,xoa dịu,spinster|creed|salacious,hard
echo,tiếng vọng,logic|midst|inscrutable,hard
ecological,sinh thái,grind|entity|parity,hard
educator,nhà giáo dục,revenge|shackle|discord,hard
effectiveness,hiệu quả,reliability|to countenance|premise,hard
efficiency,hiệu quả,to belie|whereby|plight,hard
ego,cái tôi,balm|profligate|driving,hard
elaborate,phức tạp,to preclude|yoke|disturbing,hard
electoral,bầu cử,toss|correlation|wheedling,hard
elevate,nâng,perpetrator|patrol|reverent,hard
eligible,đạt chuẩn,to eradicate|diplomat|newsletter,hard
elite,ưu tú,tide|extraneous|testimonial,hard
embark,tham gia,simulation|solemn|naivety,hard
embarrassment,xấu hổ,antipathy|painstaking|indulge,hard
embassy,đại sứ quán,pavilion|undertaker|minimize,hard
embed,nhúng,meagre|quarry|boon,hard
embody,thể hiện,to reciprocate|furor|to preempt,hard
emergence,sự xuất hiện,subpoena|vicarious|paramount,hard
empirical,thực nghiệm,defunct|reimbursement|to entreat,hard
empower,trao quyền,eloquent|extraneous|imminent,hard
enact,ban hành,pedant|haphazard|fermentation,hard
encompass,bao gồm,insurrection|vexatious|victor,hard
encouragement,sự khích lệ,phlegmatic|prestigious|simulation,hard
encouraging,khuyến khích,to relinquish|to sow|prototype,hard
endeavour,nỗ lực,dotage|widen|rite,hard
endless,vô tận,reverse|aversion|partially,hard
endorse,tán thành,crypt|quadrant|ferocious,hard
endorsement,sự chứng thực,furtive|entropy|lampoon,hard
endure,chịu đựng,sublime|ill-advised|to countenance,hard
enforce,thực thi,mayhem|composition|unison,hard
enforcement,thực thi,beam|delegation|statute,hard
engagement,hôn ước,paramount|contrition|glory,hard
engaging,thu hút,reverse|vandal|feckless,hard
enquire,hỏi,exile|portentous|absent,hard
enrich,làm giàu,epicentre|to vituperate|cocktail,hard
enrol,tham gia,surplus|shackle|fissure,hard
ensue,xảy ra,to antagonise|provoke|conundrum,hard
enterprise,doanh nghiệp,promiscuity|bless|ironically,hard
enthusiast,người đam mê,jurisprudence|persist|deficit,hard
entitle,có quyền,siege|contrary|hysteria,hard
entity,thực thể,terminate|to entreat|preliminary,hard
epidemic,bệnh dịch,quaint|tycoon|exorbitant,hard
equality,bình đẳng,accessible|uphold|burst,hard
equation,phương trình,willingness|widen|architectural,hard
erect,thẳng đứng,exaggerate|insurmountable|shrouded,hard
escalate,leo thang,eternal|liturgy|loom,hard
essence,nước hoa,sustenance|specification|evolutionary,hard
establishment,thành lập,bellicose|profitable|whirlpool,hard
eternal,vĩnh cửu,superfluous|adjuration|accomplice,hard
evacuate,sơ tán,affable|ray|contemptible,hard
evoke,gợi lên,to incense|descend|scruple,hard
evolutionary,tiến hóa,enigmatic|dominance|rascal,hard
exaggerate,nói quá,alliance|accusation|jocularity,hard
excellence,sự xuất sắc,derelict|distort|pallor,hard
exceptional,đặc biệt,bourgeoisie|collision|quarry,hard
excess,thặng dư,gaffe|daunting|byword,hard
exclusion,loại trừ,rudiment|to beleaguer|abuse,hard
exclusive,loại trừ,to revere|shatter|congratulate,hard
exclusively,độc quyền,deed|ruination|assurance,hard
execute,thực thi,insidious|versatility|bravura,hard
execution,thực thi,gallon|practitioner|complication,hard
exert,nỗ lực,immaculate|admission|to deride,hard
exile,lưu đày,aftermath|sarcasm|screw,hard
exit,ra,stumble|abstinence|novice,hard
expenditure,chi tiêu,crucible|solidarity|peasant,hard
experimental,thực nghiệm,stratum|to transcribe|suspension,hard
expire,hết hạn,to impair|abject|indigenous,hard
explicit,rõ ràng,imagery|distress|dynasty,hard
explicitly,rõ ràng,troupe|repugnant|portent,hard
exploitation,khai thác,languid|apostle|classification,hard
explosive,chất nổ,psyche|upshot|bow,hard
extract,chiết xuất,manifestation|guile|to surmount,hard
extremist,cực đoan,assiduous|ransom|heretical,hard
facilitate,tạo điều kiện,simultaneously|equanimity|to augment,hard
faction,phe phái,quarantine|forge|desultory,hard
faculty,giảng viên,pedant|mutual|accomplishment,hard
fade,phai,scoundrel|trail|to irk,hard
fairness,sự công bằng,preamble|comparable|insider,hard
fatal,gây tử vong,rectitude|comply|hostility,hard
fate,định mệnh,glimpse|doldrums|ebullient,hard
favourable,thuận lợi,incongruity|shrewdness|biography,hard
feat,thành tích,consensus|carve|quaint,hard
feminist,nữ quyền,opt|grasp|reciprocal,hard
fibre,sợi,elation|sentiment|diplomatic,hard
fierce,mạnh mẽ,ease|counselling|voyeur,hard
film,phim ảnh,liquidation|personnel|culprit,hard
filter,lọc,encompass|fractious|oligarchy,hard
fine,khỏe,disclosure|heinous|configuration,hard
firearm,súng,deprive|grip|unrivalled,hard
fit,phù hợp,suicide|pulpit|rifle,hard
fixture,thiết bị,verify|marine|salacious,hard
flaw,lỗi,nomination|vernacular|rationale,hard
flawed,bị lỗi,fluid|disdain|to ostracise,hard
flee,bỏ chạy,implausible|preeminent|dichotomy,hard
fleet,đội tàu,doldrums|rock|crypt,hard
flesh,thịt,hackneyed|ingrained|continually,hard
flexibility,tính linh hoạt,surveillance|connoisseur|vow,hard
flourish,phát triển mạnh,inadequacy|dexterity|saint,hard
fluid,dịch,panacea|coastal|disingenuous,hard
footage,cảnh quay,avarice|erect|unwitting,hard
foreigner,người nước ngoài,exultation|mannerism|appreciation,hard
forge,rèn,residential|pretence|barrage,hard
formula,công thức,unthinkable|to scrutinise|volatility,hard
formulate,xây dựng,sophomore|quiescent|parameter,hard
forth,tiến lên,tycoon|proceedings|proposition,hard
forthcoming,sắp tới,to accost|lad|sanctimonious,hard
foster,nuôi dưỡng,rotation|emergence|firearm,hard
fragile,dễ vỡ,veto|quagmire|coup,hard
franchise,nhượng quyền thương mại,embargo|feckless|machination,hard
frankly,thành thật mà nói,funeral|communist|marginal,hard
frustrated,bực bội,to vindicate|austere|insolent,hard
frustrating,làm nản lòng,lesser|remission|render,hard
frustration,sự thất vọng,oxymoron|to quell|intermittently,hard
functional,chức năng,frankly|admission|pond,hard
fundraising,gây quỹ,beam|scrupulous|proposition,hard
funeral,tang lễ,taxpayer|preponderance|inane,hard
gallon,gallon,newsletter|continuum|vertex,hard
gambling,đánh bạc,accelerate|prevalence|to cajole,hard
gathering,tụ họp,nominate|audit|upcoming,hard
gaze,ánh nhìn,profitable|to proscribe|excellence,hard
gear,bánh răng,quagmire|to remit|to placate,hard
generic,chung,exclusion|henchman|theorem,hard
genocide,diệt chủng,immortal|abstention|crush,hard
glance,cái nhìn thoáng qua,visage|devise|upheaval,hard
glimpse,thoáng nhìn,yokel|chronic|lobby,hard
glorious,vinh quang,kinship|warden|pulpit,hard
glory,vinh quang,qualm|gravitas|breed,hard
governance,quản trị,conundrum|credibility|gut,hard
grace,duyên dáng,involvement|blasphemy|mobility,hard
grasp,nắm bắt,condemn|oscillation|vocation,hard
grave,mộ,relevance|naval|sediment,hard
grave,mộ,bigotry|dispensation|knoll,hard
gravity,trọng lực,symbolic|pulpit|insufficient,hard
grid,lưới,pond|well|invoke,hard
grief,nỗi đau buồn,retraction|albeit|alert,hard
grin,cười toe toét,baleful|appealing|wry,hard
grind,xay,thoughtful|servility|simulation,hard
grip,va li,dictator|implementation|to espouse,hard
gross,tổng,defamation|exacting|victor,hard
guerrilla,du kích,fleeting|shackle|gruelling,hard
guidance,hướng dẫn,tenet|blasphemy|perpetual,hard
guilt,tội lỗi,mystique|iconoclasm|exuberant,hard
gut,ruột,unveil|tremendous|to transcend,hard
hail,kêu,span|liquidation|thoroughfare,hard
halfway,nửa chừng,merit|stowaway|endure,hard
halt,dừng lại,impeachment|successive|apprehensive,hard
handful,một nắm,constituency|periphery|unsullied,hard
handling,xử lý,spectrum|namely|protective,hard
handy,tiện dụng,pacifism|contagion|ardour,hard
harassment,quấy rối,sovereignty|purveyor|martyrdom,hard
hardware,phần cứng,connoisseur|linguist|patron,hard
harmony,hòa hợp,insurmountable|fractious|closure,hard
harsh,thô ráp,ire|consummation|inspection,hard
harvest,mùa gặt,bind|anarchy|infect,hard
hatred,sự thù hận,pregnancy|detain|stab,hard
haunt,ma ám,vanish|fervour|bulk,hard
hazard,nguy hiểm,prelude|shackle|statesmanship,hard
heighten,tăng cường,profanity|boom|fundraising,hard
heritage,di sản,unpretentious (adj)|momentum|perseverance,hard
hierarchy,hệ thống phân cấp,fickle|famine|to exacerbate,hard
high,cao,ratification|infallible|cabinet,hard
hint,gợi ý,comparable|oscillation|to genuflect,hard
homeland,quê hương,void|immaculate|wilderness,hard
hook,cái móc,gravity|restitution|willfulness,hard
hopeful,hy vọng,facilitate|bat|to preempt,hard
horizon,chân trời,shrouded|reassure|futility,hard
horn,còi,commence|legacy|nascent,hard
hostage,con tin,trailblazer|utilitarianism|tangible,hard
hostile,thù địch,alliance|forge|shatter,hard
hostility,sự thù địch,viper|resurgence|ultimatum,hard
humanitarian,nhân đạo,clemency|refusal|to harness,hard
humanity,nhân loại,allegory|lobby|acre,hard
humble,khiêm tốn,to revoke|revocation|misanthrope,hard
hydrogen,hydro,favourable|esteem|exacting,hard
identification,nhận dạng,ecological|magnate|interim,hard
ideological,ý thức hệ,turmoil|rehabilitation|obsequious,hard
ideology,hệ tư tưởng,coordination|superficial|meantime,hard
idiot,kẻ ngốc,itinerary|constitute|pavilion,hard
ignorance,sự thiếu hiểu biết,punch|paragon|sack,hard
imagery,hình ảnh,mortifying|cupidity|proficiency,hard
immense,bao la,dissonance|nebulous|to quell,hard
imminent,sắp xảy ra,ponderous|violation|to wield,hard
implementation,triển khai,gear|crux|insoluble,hard
imprison,giam giữ,rendition|tribunal|correlate,hard
imprisonment,giam giữ,anarchy|morose|gathering,hard
inability,không có khả năng,purveyor|incredulous|whim,hard
inadequate,không đủ,tangential|hackneyed|viable,hard
inappropriate,không phù hợp,oaf|cartography|propriety,hard
incidence,tỷ lệ mắc bệnh,insolent|shoot|workout,hard
inclined,nghiêng,pervasive|swathe|adroit,hard
inclusion,sự bao gồm,to impair|sarcasm|persistent,hard
incur,phát sinh,lapse|genocide|adolescent,hard
indicator,chỉ báo,poignancy|to incense|widen,hard
indictment,cáo trạng,prudence|poll|ordinance,hard
indigenous,người bản địa,lackadaisical|cavalcade|inclined,hard
induce,gây ra,prescription|elite|forth,hard
indulge,nuông chiều bản thân,motorist|to galvanise|consistency,hard
inequality,bất bình đẳng,renew|audacity|commentator,hard
infamous,khét tiếng,intrusive|allegiance|fixture,hard
infant,trẻ sơ sinh,splendour|burst|backing,hard
infect,lây nhiễm,presidency|widen|exclusion,hard
inflict,gây ra,firearm|equation|widen,hard
influential,có ảnh hưởng,boon|torpid|pipeline,hard
inherent,vốn có,protective|tractable|madcap,hard
inhibit,ức chế,thrive|functional|grasp,hard
initiate,khởi đầu,prescribe|clout|defect,hard
inject,tiêm,provoke|deviation|deposit,hard
injection,tiêm,exquisite|to engender|pit,hard
injustice,bất công,purist|corrupt|harmony,hard
inmate,tù nhân,ironically|lectern|to elicit,hard
insertion,chèn,proximity|to ferret out|aftermath,hard
insider,người trong cuộc,gathering|upcoming|aide,hard
inspect,thanh tra,walkout|backdrop|tantamount,hard
inspection,điều tra,vintage|restitution|mortifying,hard
inspiration,cảm hứng,gravity|solicitor|serenity,hard
instinct,bản năng,to abate|thrilled|slumber,hard
institutional,thể chế,seminal|volatile|entity,hard
instruct,hướng dẫn,vestige|neighbouring|cache,hard
instrumental,nhạc cụ,protagonist|post|etymology,hard
insufficient,không đủ,decree|to peruse|commissioner,hard
insult,sự sỉ nhục,browser|obscure|revisionism,hard
intact,còn nguyên vẹn,detrimental|ranking|litigant,hard
intake,lượng tiêu thụ,thought|ostensible|trudge,hard
integral,tích phân,prologue|to denigrate|minion,hard
integrated,tích hợp,anonymous|sensation|to deflate,hard
integration,tích hợp,grind|striking|to reproach,hard
integrity,chính trực,width|mandate|to proffer,hard
intellectual,trí tuệ,notorious|deceitful|feminist,hard
intensify,tăng cường,quiescent|disparate|imagery,hard
intensity,cường độ,to flaunt|statesmanship|wanton,hard
intensive,căng,correspond|fissure|tantrum,hard
intent,ý định,belligerent|unwitting|contrition,hard
interactive,tương tác,to mitigate|remorse|accountability,hard
interface,giao diện,to stifle|missile|rubric,hard
interfere,can thiệp,innumerable|enforce|interference,hard
interference,sự can thiệp,interference|to remit|correspondence,hard
interim,tạm thời,abolish|taskmaster|to confiscate,hard
interior,nội thất,liable|activist|dossier,hard
intermediate,trung cấp,segregation|penury|ephemeral,hard
intervene,can thiệp,promiscuity|to relinquish|statistical,hard
intervention,sự can thiệp,demise|aplomb|misery,hard
intimate,thân mật,consensus|to beguile|tempestuous,hard
intriguing,thú vị,to expedite|trinket|incendiary,hard
investigator,điều tra viên,aftermath|delineation|torque,hard
invisible,vô hình,elated|hypothetical|deliberation,hard
invoke,gọi,deliverance|prescription|titan,hard
involvement,sự tham gia,proximity|constitution|applaud,hard
ironic,trớ trêu,spy|to supplant|neglect,hard
ironically,trớ trêu thay,cadence|inmate|regent,hard
irony,sự trớ trêu,escapade|sacrilege|negligence,hard
irrelevant,không liên quan,garrison|enticing|veneer,hard
isolation,sự cách ly,methodology|coordination|rite,hard
judicial,tư pháp,detriment|jubilation|to surpass,hard
junction,điểm giao nhau,credible|explicit|to commiserate,hard
jurisdiction,thẩm quyền,expatriate|oblivion|impracticable,hard
just,chỉ,auto|haphazard|underworld,hard
justification,sự biện minh,brusque|circulate|fa?ade,hard
kidnap,bắt cóc,adamant|to wane|costly,hard
kidney,quả thận,whitewash|lapse|to debilitate,hard
kingdom,vương quốc,creed|sacrifice|proficiency,hard
lad,thanh niên,to exacerbate|obituary|plaintiff,hard
landlord,chủ nhà,primeval|ballot|disparity,hard
landmark,cột mốc,sophistry|newsletter|anecdote,hard
lap,vòng,upgrade|establishment|tempt,hard
large,lớn,just|inflammatory|offering,hard
laser,tia laser,workmanship|infamy|parochial,hard
latter,sau,mainstay|residual|consecutive,hard
lawn,bãi cỏ,affectation|diatribe|aluminium,hard
lawsuit,vụ kiện,rejection|unprecedented|diaphanous,hard
layout,cách trình bày,log|distress|cooperative,hard
leak,hở,edifice|apprehensive|touchstone,hard
leap,nhảy vọt,moratorium|soar|messiah,hard
legacy,di sản,unease|trophy|obsession,hard
legendary,huyền thoại,sprawl|intact|nefarious,hard
legislation,luật pháp,susceptibility|ambassador|infraction,hard
legislative,lập pháp,regent|opt|pipeline,hard
legislature,cơ quan lập pháp,tornado|utopia|to procrastinate,hard
legitimate,hợp pháp,transcript|long|to bite the bullet,hard
lengthy,dài,gut|invoke|plaintiff,hard
lesbian,đồng tính nữ,imperious|partial|stake,hard
lesser,ít hơn,novice|sketch|reverent,hard
lethal,gây chết người,minimal|unanimity|maudlin,hard
liable,chịu trách nhiệm,sycophantic|to palliate|notoriety,hard
liberal,tự do,typhoon|understatement|raid,hard
liberation,giải phóng,genesis|trance|portray,hard
liberty,tự do,to prevaricate|presumption|to garner,hard
license,giấy phép,concede|minimal|allocation,hard
lifelong,suốt đời,vicious|to elicit|ostentatious,hard
likelihood,xác suất,martyrdom|turbulence|arm,hard
limb,chân tay,spin|to espouse|humanitarian,hard
linear,tuyến tính,cacophony|revisionism|to ponder,hard
line,đường kẻ,embed|correlation|discord,hard
linger,nán lại,longevity|tender|magical,hard
listing,danh sách,proviso|multitude|siege,hard
literacy,khả năng đọc viết,henchman|sole|nadir,hard
liver,gan,to dispel|vile|sanctimonious,hard
lobby,sảnh,entropy|detain|embed,hard
log,nhật ký,notify|derogatory|solely,hard
logic,logic,squeeze|strand|composition,hard
long,dài,rectitude|precedent|applicable,hard
long,dài,allocate|liberal|descent,hard
loom,khung dệt,breach|tribulation|uniformity,hard
loop,vòng lặp,watershed|frenetic|prototype,hard
loyalty,lòng trung thành,elaborate|squad|repression,hard
machinery,máy móc,daft|linguist|untenable,hard
magical,phép thuật,allocation|fidelity|audacity,hard
magistrate,thẩm phán,impromptu|dictator|feud,hard
magnetic,từ tính,thread|dearth|perjurer,hard
magnitude,kích cỡ,inflict|cantankerous|allegation,hard
mainland,đất liền,notify|alike|posterity,hard
mainstream,chính thống,adverse|onslaught|offering,hard
maintenance,BẢO TRÌ,elusive|memento|clash,hard
mandate,nhiệm vụ,invective|masquerade|imagery,hard
mandatory,bắt buộc,trailblazer|ironically|undertaker,hard
manifest,biểu hiện,warrant|handy|methodology,hard
manipulate,thao túng,blade|connoisseur|weaponry,hard
manipulation,thao tác,inception|trace|verge,hard
manuscript,bản thảo,repugnance|impeccable|omnipotence,hard
march,bước đều,ritual|servile|remains,hard
marginal,cận biên,flee|histrionic|steward,hard
marine,hàng hải,rigmarole|unfathomable|successive,hard
marketplace,thị trường,attribute|invective|prosecution,hard
mask,mặt nạ,loyalty|kudos|pavilion,hard
massacre,vụ thảm sát,steward|balm|film,hard
mathematical,toán học,seal|misleading|squalid,hard
mature,trưởng thành,aplomb|crush|moribund,hard
maximize,tối đa hóa,devastate|protagonist|torpid,hard
meaningful,có ý nghĩa,accumulation|fleeting|lapse,hard
meantime,trong khi đó,tenacity|arguably|resemble,hard
medieval,thời trung cổ,spark|convict|torpor,hard
meditation,thiền định,assembly|sarcasm|diplomatic,hard
melody,giai điệu,longevity|incur|inflammatory,hard
memo,bản ghi nhớ,oblivion|decision|unctuous,hard
memoir,hồi ký,palatable|contributor|intimate,hard
memorial,đài tưởng niệm,oversight|farce|productivity,hard
mentor,người hướng dẫn,propitious|timorous|bourgeoisie,hard
merchant,thương nhân,harmony|to bite the bullet|dignity,hard
mercy,lòng thương xót,behalf|quarry|ruling,hard
mere,chỉ,villager|to bite the bullet|saint,hard
merely,chỉ,allegation|tranquillity|ultimatum,hard
merge,hợp nhất,aspiration|undoing|nest,hard
merger,sáp nhập,intrinsic|volatility|simultaneously,hard
merit,công lao,nexus|glorious|ordinance,hard
methodology,phương pháp luận,constitutional|behemoth|fruition,hard
midst,giữa,heinous|legacy|flee,hard
migration,di cư,coordinate|servitude|taboo,hard
militant,chiến binh,monolith|rehabilitation|steward,hard
militia,dân quân,pop|assembly|pallor,hard
mill,nhà máy,variance|adherence|lacklustre,hard
minimal,tối thiểu,cortege|sovereign|refutation,hard
minimize,giảm thiểu,whip|preeminent|rod,hard
mining,khai thác mỏ,steadfastness|fleeting|usher,hard
ministry,bộ,leak|ovation|pious,hard
minute,phút,hint|comparable|summons,hard
miracle,phép lạ,sprawl|prototype|talisman,hard
misery,đau khổ,to castigate|craft|arrogance,hard
misleading,gây hiểu lầm,apprehension|span|warden,hard
missile,tên lửa,respectively|twist|to ensue,hard
mob,đám đông,arcane|to revere|stratagem,hard
mobility,khả năng di chuyển,tumult|multitude|vandalism,hard
mobilize,huy động,zigzag|vermin|compile,hard
moderate,vừa phải,bulwark|audacity|tribal,hard
modification,sửa đổi,efficiency|superfluous|deliverance,hard
momentum,động lực,exigency|quaint|ease,hard
monk,tu sĩ,obdurate|twist|alliance,hard
monopoly,độc quyền,iconoclasm|collaboration|sycophant,hard
morality,đạo đức,iconoclasm|resplendent|gallon,hard
motive,động cơ,implementation|adroit|to rebuke,hard
motorist,người lái xe,latent|fabrication|to deplore,hard
municipal,thành phố,spam|cemetery|speculator,hard
mutual,qua lại,inclination|theologian|etymology,hard
namely,cụ thể là,premonition|affliction|presidency,hard
nationwide,trên toàn quốc,entitle|typhoon|competence,hard
naval,hải quân,polemic|opportunistic|specialized,hard
neglect,sao nhãng,inception|ethos|didactic,hard
neighbouring,lân cận,lugubrious|residual|incisive,hard
nest,tổ,brutal|wistfulness|solemn,hard
net,mạng lưới,preliminary|subsistence|inequality,hard
newsletter,bản tin,portray|to prevaricate|hitherto,hard
niche,ngách,perspicacious|theatrical|prestigious,hard
noble,quý tộc,iconoclast|pariah|rip,hard
nod,gật đầu,opt|sullen|posterity,hard
nominate,đề cử,entitle|to buttress|cattle,hard
nomination,đề cử,usher|stability|calculation,hard
nominee,ứng viên,perimeter|sentiment|synopsis,hard
nonetheless,tuy nhiên,zest|quaint|operational,hard
non,không,provision|interactive|poignant,hard
nonsense,vô lý,tactical|translucent|tangible,hard
noon,buổi trưa,gambit|fa?ade|flagrant,hard
notable,đáng chú ý,decadence|subpoena|correspond,hard
notably,đáng chú ý,rally|mainland|intrepid,hard
notify,thông báo,revelry|ranking|boundary,hard
notorious,nổi tiếng,cosmology|ostentatious|confession,hard
novel,cuốn tiểu thuyết,spare|epitome|displace,hard
nursery,nhà trẻ,to elucidate|vessel|megalomania,hard
objection,phản đối,backup|representation|empirical,hard
oblige,bắt buộc,duo|repute|tangential,hard
obsess,ám ảnh,to imbue|enmity|stickler,hard
obsession,sự ám ảnh,testament|oblivion|twilight,hard
occasional,thỉnh thoảng,personnel|banner|disinterested,hard
occurrence,sự việc,cogent|compliance|hail,hard
odds,tỷ lệ cược,leak|legislative|emergence,hard
offering,cung cấp,saga|quintessential|slap,hard
offspring,con cái,lampoon|reparation|cessation,hard
operational,hoạt động,surplus|trepidation|wistful,hard
opt,lựa chọn,joust|substantially|counter,hard
optical,quang học,carve|extraneous|heinous,hard
optimism,lạc quan,nefarious|ruckus|compelling,hard
oral,miệng,ruination|nonetheless|amid,hard
organizational,tổ chức,meticulous|to exhort|to surmise,hard
orientation,định hướng,biography|to ruminate|franchise,hard
originate,bắt nguồn,nadir|variance|to impugn,hard
outbreak,sự bùng phát,residential|to burgeon|hypothetical,hard
outing,chuyến đi chơi,indigenous|surge|serenity,hard
outlet,chỗ thoát,initiate|hyperbole|substitute,hard
outlook,triển vọng,utopianism|requisite|walkout,hard
outrage,sự phẫn nộ,province|complexity|entity,hard
outsider,người ngoài,dissertation|deteriorate|thought,hard
overlook,tầm nhìn,malevolent|zest|liberation,hard
overly,quá mức,injunction|edict|discharge,hard
oversee,giám sát,inexhaustible|susceptibility|trepidation,hard
overturn,lật đổ,motorist|to scorn|sophomore,hard
overwhelm,quá tải,snap|prosecute|detain,hard
overwhelming,quá tải,induction|outlook|neophyte,hard
pad,tấm lót,inclination|align|bureaucracy,hard
parameter,tham số,extraneous|craven|glance,hard
parental,cha mẹ,stately|omniscience|moribund,hard
parish,giáo xứ,adamant|vice|simile,hard
parliamentary,nghị viện,cloister|organizational|to disseminate,hard
partial,một phần,to desecrate|quixotic|plaintiff,hard
partially,một phần,readily|whatsoever|horoscope,hard
passing,đi qua,viability|truculent|pedantic,hard
passive,thụ động,vein|virtuoso|structural,hard
pastor,mục sư,vigour|diplomat|pundit,hard
patch,vá lỗi,mobilize|utility|to ponder,hard
patent,bằng sáng chế,chaos|ironic|maudlin,hard
pathway,con đường,ploy|inadequacy|veteran,hard
patrol,tuần tra,repository|luminous|bravura,hard
patron,người bảo trợ,remission|quota|mediocrity,hard
peak,đỉnh cao,turncoat|dignity|yarn,hard
peasant,nông dân,lethal|to flaunt|pretentious,hard
peculiar,riêng,dispose|permanence|thought,hard
persist,tiếp tục,administrator|satirist|militant,hard
persistent,dai dẳng,iconoclasm|trilogy|allegedly,hard
personnel,nhân viên,notorious|bewitching|fallacious,hard
