sentence_left,sentence_right,difficulty
"novel","a long written story about imaginary characters and events",medium
"fiction","books and stories about imaginary events and people",medium
"comic","a magazine that contains stories told in a series of drawings",medium
"cartoon","a film or TV programme made by photographing a series of drawings so that things in them seem to move; a humorous drawing or series of drawings in a newspaper or magazine",medium
"comedian","someone whose job is to entertain people by making them laugh",medium
"watch","to look at someone or something for a period of time",medium
"see","to watch something such as a film or television programme",medium
"look","to direct your eyes towards someone or something so that you can see them",medium
"listen","to pay attention to a sound, or to try to hear a sound",medium
"hear","to realise that someone or something is making a sound",medium
"wear","to have something on your body as clothing, decoration or protection",medium
"costume","clothes that the actors wear in a play or film",medium
"suit (n)","a set of clothes made from the same cloth, usually a jacket with trousers or a skirt",medium
"dye","to change the colour of something such as cloth or hair using dye",medium
"paint","to put paint onto something in order to change its colour",medium
"suit (v)","if a style or something you wear suits you, it makes you look good",medium
"cloth","material used for making things such as clothes and curtains",medium
"clothing","clothes",medium
"blouse","a shirt for women",medium
"top","a piece of clothing that covers the upper part of your body",medium
"manufacture","to make goods in large quantities in a factory",medium
"current","happening or existing now",medium
"appearance","the way that someone or something looks",medium
"produce","to make or grow something",medium
"glimpse","to see someone or something for a moment or not completely",medium
"glance","to look somewhere quickly and then look away",medium
"average","the typical amount or level",medium
"everyday","very common or completely normal",medium
"gain","to get more of something, usually as a result of a gradual process",medium
"raise","an increase in the amount that you are paid for work",medium
"rise","an increase in size, amount, quality or strength",medium
"wage(s)","a regular amount of money that you earn for working",medium
"pay","money that you receive for doing your job",medium
"My uncle's invited me","to go fishing with him next weekend.",medium
"I've been thinking","of taking up golf.",medium
"Dave's competing","in the school tennis tournament.",medium
"I just had my turn so it's","your go now.",medium
"We took it in","turns to use the skateboard.",medium
"I regret not","learning to swim when I had the chance.",medium
"We always listen","to what our coach tells us.",medium
"brush up (on)","practise and improve your skills or knowledge of something",hard
"figure out","be able to understand something or solve a problem; understand what someone is like and why they behave in the way they do",hard
"hit upon","suddenly have an idea; discover something by chance",hard
"mull over","think carefully about something over a period of time",hard
"piece together","learn the truth about something by considering all the separate bits of information you have",hard
"puzzle out","solve a confusing or complicated problem by thinking carefully about it",hard
"read up (on/about)","get information on a particular subject by reading a lot about it",hard
"swot up (on)","study something very hard, especially for an examination",hard
"think through","consider the facts about something in an organised and thorough way",hard
"think up","invent or imagine something, especially an excuse",hard
"go to your head","if success goes to your head, it makes you think that you are better or more important than you really are",hard
"have your wits about you","be able to think quickly and make sensible decisions",hard
"in the dark (about)","not knowing very much about something, because other people are keeping it secret from you",hard
"know what’s what","know the important facts about a situation",hard
"not have a leg to stand on","not have any way of proving that you are right about something",hard
"not see the wood for the trees","used for saying that someone cannot understand what is important in a situation because they are thinking too much about small details",hard
"put two and two together","guess what is happening or what something means based on what you have seen or heard",hard
"quick/slow on the uptake","taking a very short/long time to understand or realise something",hard
"ring a bell","something that rings a bell sounds familiar to you, although you cannot remember the exact details",hard
"round the bend","crazy",hard
"split hairs","argue or worry about very small details or differences that are not important",hard
"take stock (of)","spend some time thinking about the situation you are in before you decide what to do next",hard
"I'm going to have to mull this","over for a while before I make a final decision.",hard
"Detectives are still trying to piece","together exactly what happened that evening.",hard
"It took him a very long time to take","in the fact that he'd never see her again.",hard
"Tell us how you hit","upon such a great idea for a website.",hard
"It took us ages to figure","out how to get everyone to the sports centre without Phil knowing.",hard
"I've just thought","up a brilliant excuse to tell Rachel.",hard
"I'm not sure we've thought","this through properly yet.",hard
"back up","make a copy of information on your computer; give support to someone by telling other people that you agree with them backup (n)",hard
"change around","move things so that they are in different places or positions",hard
"change into","stop being in one state, condition or form and start being in another, or make something do this; take off the clothes or a piece of clothing you are wearing and put on different ones",hard
"change out of","take off the clothes or a piece of clothing you are wearing and put on different ones",hard
"fade away","disappear slowly",hard
"key in","put information into a computer or other electronic machine using keys or a keyboard",hard
"make into","change someone or something so that they become something else",hard
"mix up","put things together without any order; think that one person or thing is another person or thing mix-up (n)",hard
"switch on/off","start/stop a machine/light/etc working",hard
"take apart","separate an object into pieces",hard
"test out","try using something such as a machine or product to find out whether it works correctly or is satisfactory",hard
"use up","use all of a supply of something",hard
"a leopard can’t change its spots","used for saying that someone will never change their behaviour or character",hard
"all mod cons","all modern conveniences, the machines and pieces of equipment in your house that make life easy and comfortable",hard
"break the mould","change a situation by doing something that is very different from what most people usually do or have done in the past",hard
"change your tune","change your opinion or attitude",hard
"have a change of heart","change your opinion about something or decide not to do something you were planning to do",hard
"know sth inside out","be very familiar with",hard
"reinvent the wheel","waste time and effort trying to do something that someone else has already done well",hard
"stick to your guns","refuse to change what you are saying or doing despite the opposition or criticism of other people",hard
"the tools of the trade","the skills and equipment that you need in order to do your job",hard
"turn over a new leaf","change your life by starting to be a better person or stopping a bad habit",hard
"crop up","appear or happen suddenly or unexpectedly",hard
"dive in","start doing something in a very enthusiastic way",hard
"end up","be in a particular place or state after doing something or because of doing it",hard
"kick off (with)","begin (with)",hard
"knock off","stop working",hard
"knuckle down","start working hard, especially when you should have done this earlier",hard
"lay off","end someone's employment, especially temporarily, because there is not enough work for them; stop doing or using something, especially for a short period of time",hard
"lie ahead","if something lies ahead, it is going to happen to you in the future",hard
"press ahead/on (with)","continue doing something in a determined way, despite difficulties, opposition or interruptions",hard
"snow under","if you are snowed under, you have too much of sth to deal with",hard
"tide over","help someone to get to the end of a difficult period of time, especially by giving them money until they can get some more",hard
"while away","spend time in a relaxed way when you have nothing else to do",hard
"wind down","end or finish something gradually; gradually reduce work before stopping completely; relax after a period of excitement or worry",hard
"a stitch in time (saves nine)","used for saying that it is better to solve a problem now, rather than leave it until later when it may be more difficult to deal with",hard
"all in good time","used for telling someone to wait for something and not try to make you hurry",hard
"at the drop of a hat","immediately or in a way that shows that you have no doubts about doing something",hard
"before your time","used for saying that something happened or existed before you were born or before you lived or worked somewhere",hard
"for good","permanently, without the possibility of change in the future",hard
"for the time being","for now",hard
"from time to time","sometimes, but not often",hard
"in/for donkey's years","an extremely long time",hard
"in the nick of time","just in time to prevent something bad happening",hard
"once in a blue moon","very rarely",hard
"on the spur of the moment","if you do something on the spur of the moment, you do it suddenly and do not take time to plan it or think carefully about it",hard
"the other day","recently",hard
"cordon off","stop people from entering an area by putting something such as a rope around it",hard
"creep up on","move towards someone quietly and slowly, especially because you want to surprise them",hard
"fall behind","move more slowly than other people so that you are behind them; make less progress or be less successful than other people who are doing a similar job or activity",hard
"go astray","become lost or go to the wrong place",hard
"head off","prevent someone from going somewhere by getting in front of them; prevent something from taking place",hard
"hold back","stop someone or something from moving forwards",hard
"move in (with)","start living in a different house or flat (with)",hard
"move on","leave one place and travel to another; stop discussing or doing something and begin discussing or doing something different",hard
"move out","permanently leave the house or flat where you live or the place where you have your business",hard
"move over","change your position in order to make space for someone or something",hard
"pull over","stop by the side of the road in a car or other vehicle",hard
"slip away","leave secretly",hard
"step aside","move so that sb can pass you; leave a job so that sb else can take over",hard
"stop off","visit somewhere before continuing to another place",hard
"tip up","(of an object) have one end move upwards, especially because something heavy has been put at the other end; turn a container upside down so that the things inside it come out",hard
"walk out","leave a meeting, performance, etc before the end, usually because you are angry or bored; suddenly leave a relationship, your family, your job, etc",hard
"a stone’s throw (away/from)","very close (to)",hard
"as the crow flies","in a straight line (used for measuring distance)",hard
"follow your nose","go straight forward, without turning; do what you feel is right in a particular situation, although you are not certain",hard
"in the middle of nowhere","a long way from any town or city",hard
"lose your bearings","become confused about where you are and where other things are",hard
"make a beeline for","go towards someone or something in the quickest and most direct way",hard
"off the beaten track","away from populated areas or areas popular with tourists",hard
"stop dead in your tracks","suddenly stop, for example because you are surprised",hard
"take a short cut to","follow a path that is quicker and shorter than the usual way",hard
"take the scenic route","follow a longer path than the usual one because it is more attractive",hard
"blurt out","say something suddenly and without thinking about the effect it will have, usually because you are nervous or excited",hard
"come out with","say something suddenly, usually something that surprises or shocks people",hard
"dry up","stop talking because you have forgotten what you were going to say",hard
"get across","make people understand something",hard
"get (a)round","if news gets (a)round, a lot of people hear it",hard
"get through (to)","be connected to a place by telephone; make someone understand what you are trying to say",hard
"let on","talk about something that is intended to be a secret",hard
"pass on","give someone something, for example a message, that someone else has given you",hard
"put across/over","explain an idea, belief, etc in a way that is easy to understand",hard
"set down","write something on a piece of paper so that it will not be forgotten and can be looked at later; state officially how something should be done",hard
"shout down","make it difficult to hear what someone says by shouting while they are speaking",hard
"speak out","state your opinion firmly and publicly about something, especially in order to protest against or defend something",hard
"talk over","discuss a problem or a plan",hard
"talk round to","succeed in persuading someone to agree something; discuss something in a general way and without dealing with the most important issues",hard
"big mouth","used as a criticism of someone when they say things they should not",hard
"come clean (about sth)","tell the truth about something that you have kept secret",hard
"get/catch sb's drift","understand the basic meaning",hard
"get sth off your chest","talk to someone about something that has been worrying you, so that you feel better about it",hard
"get the wrong end of the stick","understand something completely wrongly",hard
"give sb your word","promise to do something",hard
"(hear sth) on/through the grapevine","the way in which information spreads quickly from one person to another through conversation",hard
"keep sb posted","regularly give someone information about something they are interested in, for example how a situation is changing or developing",hard
"keep sth under your hat","keep something secret",hard
"lay/put your cards on the table","tell people exactly what you are thinking or what you are intending to do",hard
"speak volumes","provide a lot of information, especially in an indirect way",hard
"tell tales","tell someone in authority about bad things that someone else has done, because you want them to be punished",hard
"If you stay with us for three days,","we'll have enough time to see a few sights.",hard
"If you decide not to vote in the election,","you can't really complain about the government.",hard
"If you didn't eat your lunch so fast,","you wouldn't get hiccups, would you?",hard
"If there were a few more people working,","we might get served a bit more quickly.",hard
"If you forget to take your passport,","I'm pretty sure they won't let you check in.",hard
"If the hire car isn't there when you arrive,","give us a call and we'll come to pick you up.",hard
"If the city continues to expand,","more areas of natural beauty will be destroyed.",hard
"If the police didn't fine people,","very few people would obey the law.",hard
"If you did decide to leave the company,","we'd be happy to give you a good reference.",hard
"If MPs wish to resign,","they have to go through a complicated procedure.",hard
"chance upon","find or see someone or something when you did not expect to",hard
"cool down","become cooler, or make something cooler",hard
"cut back (on)","reduce the amount of something, especially money that you spend",hard
"die out","become weaker or less common and then disappear completely",hard
"dig up","remove something from under the ground by digging; dig holes in an area of land; find information by searching carefully",hard
"heat up","make something hot; become hot",hard
"kill off","destroy living things so that most or all of them are dead",hard
"slip up","make a careless mistake slip-up (n)",hard
"spring up","appear or be produced suddenly and quickly",hard
"store up","keep a lot of something so that you can use it later; do something that will cause problems in the future",hard
"throw out","get rid of something that you no longer want, for example by putting it in a dustbin; force someone to leave a place or group; if someone in authority throws out a plan, proposal, etc they refuse to accept it",hard
"throw up","produce something new or unexpected; cause something such as dust or water to rise into the air",hard
"an act of God","an event such as a flood, lightning or an earthquake that is produced by natural forces, and that people have no control over",hard
"come rain or shine","used for saying that something always happens or someone always does something despite bad weather or difficult conditions",hard
"down on your luck","having a long period of difficulty finding work and earning money",hard
"draw the short straw","be chosen to do something unpleasant",hard
"have green fingers","be good at growing plants",hard
"let nature take its course","allow something to develop without trying to influence it",hard
"no rhyme or reason","used for emphasising that there is no reason or explanation for something",hard
"out of the blue","happening in a way that is sudden and unexpected, and does not seem connected with anything that happened before",hard
"the luck of the draw","used for saying people have limited control over what life brings them",hard
"touch wood","used when you have said that you have had good luck in order to prevent bad luck from happening to you",hard
"add up to","if separate amounts add up to a total amount, together they form that total; combine to produce a particular result or effect",hard
"buy off","give someone money so that they do not act against you",hard
"buy out","pay money to your business partner so that you can control all of a business you previously owned together buyout (n)",hard
"buy up","buy large amounts of something or all of it that is available",hard
"carry over","take something that you earn or are given in one year or period of time into the next one",hard
"clock up","reach a particular number or amount",hard
"club together","if people club together, each of them gives some money so all the money collected can be used to buy something",hard
"drum up","try to make people support you or buy something from you",hard
"mount up","get much larger",hard
"pay out","spend or pay money, especially a lot of money; provide money from an amount invested over a period of time",hard
"size up","think carefully and form an opinion about a person or a situation",hard
"weigh down","make someone heavy and unable to move easily; cause problems for someone or something or make someone worried",hard
"a drop in the ocean","a very small amount that will not have much effect",hard
"break even","if a person or business breaks even, they neither make a profit nor lose money",hard
"fall short","not reach a particular level or to fail to achieve something you were trying to do",hard
"fifty-fifty","equal, or into two equal parts",hard
"go halves","share the cost of something with someone so that you each pay 50%",hard
"it’s as broad as it’s long","used for saying that you cannot choose between two things or actions because they are equal",hard
"keep up with the Joneses","try to be as rich, successful, etc as your neighbours",hard
"knee-high to a grasshopper","very small, because you were very young",hard
"line your pocket(s)","obtain money, especially by acting dishonestly",hard
"lock, stock and barrel","including every part of a particular thing, situation, place, etc",hard
"six of one (and) half a dozen of the other","used for saying that two things are equally good or bad",hard
"tidy sum/amount","large sum/amount",hard
"The big supermarket chains have bought","up most of the land round here already.",hard
"If we club","together, I’m sure we can afford to get Mrs Timms a nice leaving present.",hard
"Phil’s clocked","up over 700 hours of flying time already.",hard
"One good way to drum","up support is to get people in the high street to sign a petition.",hard
"Six managers bought","out the company when it was threatened with closure.",hard
"I’ve got two weeks’ holiday left but I think I’ll carry","it over till next year and take it in January.",hard
"I’d never buy","blackmailers off – I’d rather go to the police and face the consequences.",hard
"board up","cover a window or door with wooden boards",hard
"close up","lock the doors of a building or business",hard
"cut out","remove something from a larger piece by cutting; stop eating something or doing something, especially because it is bad for your health",hard
"fix up","clean, repair or decorate something",hard
"knock/pull/tear down","destroy a building or wall",hard
"pile up","if something piles up or someone piles it up, the amount of it increases a lot",hard
"prop up","stop something from falling by putting something under it or against it; help a government, system, organisation, etc continue to exist, especially by providing financial or military support",hard
"put in","fix something such as equipment in the place where it will be used and make it ready to use; make an official request, claim, offer, etc",hard
"put together","make something by joining all its parts; produce or organize something using many different things; choose people or things to form a team or group",hard
"spread out","if people in a group spread out, they move away from one another so that they cover a large area",hard
"water down","add water to a drink or liquid in order to make it less strong, dilute; make something such as a statement or newspaper article less offensive, powerful or detailed",hard
"wear down","make something gradually disappear or become thinner by using or rubbing it; make someone gradually lose their energy or confidence",hard
"a home from home","a place where you feel as relaxed as you do in your own home",hard
"blot on the landscape","something that makes a place look less attractive, for example an ugly building",hard
"commuter belt","area surrounding a large city where many people who work in that city live",hard
"concrete jungle","unpleasant part of a city where there are a lot of ugly buildings close together",hard
"home sweet home","used for saying that you are happy to be back in your own home",hard
"in the sticks","in an area far from the town or city",hard
"make yourself at home","feel relaxed and behave in the same way as you do in your own home",hard
"on the street","with no place to live",hard
"on the town","spending the evening enjoying yourself in bars, clubs, theatres, etc",hard
"satellite town","town or city that is close to and depends on a larger city",hard
"black out","make a place dark by turning off all the lights, for example so that the enemy cannot see a place at night; suddenly become unconscious",hard
"come out in","if you come out in something such as spots, they appear on your skin",hard
"come round","become conscious again after being unconscious; happen again at a regular time; go to a place where someone is, especially their house, in order to visit them; change your opinion or decision because someone has persuaded you to agree with them",hard
"cotton on","begin to realise or understand something",hard
"crease up","laugh a lot, or make someone else laugh a lot",hard
"follow up","check something or try to find out more about it; do something in addition to what you have already done",hard
"get down","make someone feel sad or lose hope",hard
"go down (well/badly) (with sb)","produce a particular reaction",hard
"lash out","try to hit or attack someone suddenly and violently; speak angrily to or at someone",hard
"play up","cause difficulties or pain for someone; behave badly",hard
"shrivel up","become smaller and thinner than usual and it does not look fresh and healthy; become much smaller than needed or expected",hard
"summon up","manage to produce a quality or a reaction that helps you to deal with a difficult situation",hard
"ward off","do something to prevent someone or something from harming you",hard
"cry over spilt milk","waste time feeling upset about something bad that has happened and cannot be changed",hard
"fly off the handle","suddenly become extremely angry without a good reason",hard
"give sb a taste/dose of their own medicine","treat someone in the same bad way they treat other people",hard
"give sth a miss","decide not to do something that you usually do",hard
"grin and bear it","accept a difficult situation without complaining or showing how you feel",hard
"keep a straight face","remain serious and not laugh",hard
"keep your hair on","used for telling someone not to get angry or upset",hard
"kick yourself","be very annoyed because you have made a mistake, missed an opportunity, etc",hard
"let off steam","shout or do something that allows you to get rid of anger",hard
"let sleeping dogs lie","leave a person or situation alone if they might cause you trouble",hard
"never/don't look a gift horse in the mouth","if you are given something good, you should not complain about it or try to find things that are wrong with it",hard
"up in arms about","angry and complaining about something",hard
"blend in","if someone or something blends in, they are similar to the other people, objects, buildings, etc around them, and so they seem appropriate or you do not notice them",hard
"bring about","make something happen, especially to cause changes in a situation",hard
"crack down (on)","start dealing with someone or something much more strictly crackdown (n)",hard
"get in","be elected for a political job",hard
"hit back","criticise someone who has criticised you; deliberately hurt someone who has hurt you",hard
"lock up","put someone in a prison; lock all the doors and windows of a building so that no one can get in",hard
"opt out (of)","decide not to take part in something or stop taking part in it",hard
"phase out","gradually stop using something",hard
"push around","keep telling someone what to do in an unfair or unpleasant way",hard
"single out","choose one person from a group for special attention",hard
"stand up to","not allow yourself to be treated badly, especially by someone in authority",hard
"talk down to","talk to someone as if you think they are not as clever or important as you are",hard
"bury your head in the sand","ignore a problem or an unpleasant situation and hope that it will disappear",hard
"gain/get/have/take the upper hand","gain/get/have/take control or advantage over a person or situation",hard
"get/have your way","be allowed to have or do what you want",hard
"live and let live","used for saying that you should accept other people’s beliefs and way of life, even if they are very different from your own",hard
"pull (a few) strings","use your influence in order to get something you want or to help someone, especially when this is unfair",hard
"red tape","documents, rules or processes that cause delays",hard
"take the law into your own hands","punish someone in your own way without involving the police or the courts, often by doing something illegal yourself",hard
"the powers that be","the people who control a situation",hard
"throw the book at sb","punish someone very severely",hard
"under sb’s thumb","completely controlled by someone else",hard
"No matter what I said, Chris refused to back","down from her position on abortion.",hard
"Hardly had they locked the shop","up when the alarm went off.",hard
"Only radical action will bring","about the changes that we so desperately need.",hard
"What annoys me is that the man got","off with just 100 hours' community service.",hard
"The Prime Minister hit","back at her critics and claimed she had done nothing wrong.",hard
"Things have certainly improved since you took","over the business and rearranged things.",hard
"The authorities shouldn't give","in to this kind of blackmail from the workers.",hard
"I don't care who gets","in at this election because it doesn't make any difference.",hard
"brighten up","start to have more colour or light; give something more colour or light; start looking or feeling happier; if the weather brightens up, it becomes sunnier",hard
"liven up","make something more interesting or exciting, or become more interesting or exciting; give something a more interesting appearance, taste or other quality",hard
"make over","change or improve the appearance of someone or something makeover (n)",hard
"mess up","make a mistake or do something badly; make something dirty or untidy; be the cause of someone's physical, emotional or mental problems",hard
"paper over","hide a problem or disagreement rather than finding a satisfactory solution to it",hard
"patch up","repair something, often quickly and not very well; become friends with someone again after a disagreement; give basic medical treatment to someone who is injured",hard
"run down","if an organisation or area is run down, its size, importance and activity is reduced run-down (adj)",hard
"scrape through","succeed in doing something, but not in a very impressive way",hard
"smarten up","improve the appearance of something, for example by cleaning or painting it; if you smarten up or smarten yourself up, you make yourself look tidy and clean",hard
"touch up","make a surface look better with small improvements",hard
"waste away","gradually become thinner and weaker over a period of time, usually because of an illness",hard
"write off","damage a vehicle so badly that it is not worth repairing; decide that someone or something will not succeed and stop giving them your attention and energy write-off (n)",hard
"a sight for sore eyes","someone or something that you are very pleased to see",hard
"Achilles' heel","a weak feature of someone or something that could cause failure or be attacked",hard
"add fuel to the fire","make a bad situation worse",hard
"below/under par","below the usual or expected standard",hard
"clean as a whistle","completely honest or legal; extremely clean",hard
"draw the line (at)","say that you will definitely not allow or accept something",hard
"last word in","the newest and best type of something",hard
"out of this world","extremely good or impressive",hard
"over the top","more than what is considered normal or suitable",hard
"pride of place","in the place that is most central or important",hard
"steal the show","receive a lot of attention because you give the best performance in a show or other event",hard
"the edge over","an advantage that makes someone or something more successful than other people or things",hard
"answer back","reply rudely to someone who has more authority than you",hard
"ask out","invite someone to go with you to a cinema, restaurant, etc because you want to start a romantic or sexual relationship with them",hard
"break up","if two people break up, they end their relationship; break something to make smaller pieces; if a meeting or other event breaks up, or if you break it up, it ends and people leave",hard
"bring together","create a situation in which people meet and do something together, especially when they would not usually do so",hard
"bump into","meet someone unexpectedly; accidentally hit against something",hard
"cancel out","stop something from having any effect",hard
"come between","cause a disagreement or argument between people",hard
"crowd around","move to a particular place at the same time as a lot of other people",hard
"go together","if two or more things go together, they frequently exist together; if two things go together, they seem good, natural or attractive in combination with each other",hard
"meet up","come together with someone, either unexpectedly or as planned",hard
"open up","talk more about your personal feelings and experiences; open a locked door, container or building; make it easier to travel or do business in a country",hard
"sound out","try to find out someone's opinions, ideas, feelings, etc by talking to them",hard
"be born with a silver spoon in your mouth","have advantages because you come from a rich family",hard
"be on the same wavelength","understand the way another person thinks because you often have the same ideas and opinions they do",hard
"get on like a house on fire","become good friends very quickly and have a lot to talk to each other about",hard
"in sb's bad/good books","used for saying that someone is annoyed/pleased with you",hard
"like two peas in a pod","used for saying that two people look, behave or think exactly the same",hard
"on good terms (with)","have a good relationship with someone",hard
"put sth in perspective","provide a sensible way of judging how good, bad, important, etc something is in comparison with other things",hard
"sb is only human","used for saying someone has been weak in the ways most people are weak and should not be blamed for their behaviour",hard
"see eye to eye (with sb)","agree with someone or have the same opinion as them",hard
"your flesh and blood","your relative",hard
"centre around","if something centres around someone or something, or you centre something around them, they are its main subject of attention or interest",hard
"get into","start enjoying something or become enthusiastic about it; if a train, plane, etc gets into a place, it arrives there; become involved in a bad situation",hard
"hang out","spend time in a particular place or with particular people; lean out of a window so that the top part of your body is outside hang-out (n)",hard
"keep up","continue to do something; move at the same speed as someone or something",hard
"laze around","relax and enjoy yourself, doing no work",hard
"mess about/around","spend time doing things in a relaxed way; behave in a silly way",hard
"seek out","find someone or something by looking for them in a determined way",hard
"take out","take someone to a place like a cinema or a restaurant and usually pay for them",hard
"warm up","prepare for a sport or activity by doing gentle exercises or practising just before it starts warm-up (n)",hard
"at a loose end","with nothing in particular to do",hard
"couch potato","someone who spends a lot of time sitting at home watching television",hard
"do sth on a whim","do because of a sudden feeling that you must have or do something",hard
"have time on your hands","have more time available than you need",hard
"let your hair down","relax and enjoy yourself because you are in a comfortable environment",hard
"life and soul of the party","someone who is very lively at social events",hard
"put your feet up","sit down and relax, especially with your feet raised off the ground",hard
"recharge your batteries","rest after being very busy, so that you will be ready to start working again",hard
"set your heart on","decide that you want something very much",hard
"variety is the spice of life","used for saying that different experiences and situations make life enjoyable or interesting",hard
"I suppose I spend a lot of time just hanging","out with friends in the town centre.",hard
"The best thing about camping is just messing","about with all the equipment all day.",hard
"Since I'm self-employed, I'm able to take","a whole month off and just travel.",hard
"Drew spends a lot of time seeking","out good spots to go windsurfing.",hard
"Most of my leisure time seems to centre","around fishing or my other main hobby, water polo.",hard
"The tour we're going on next week takes","in some fantastic areas of natural beauty.",hard
"I'm not one of those people who go in","for active pastimes; I much prefer reading.",hard
"With a bit of practice, I picked","up a few songs after just a couple of lessons on the guitar.",hard
"get down to","start doing something seriously or with a lot of effort",hard
"get off with","receive a small punishment for a crime",hard
"get on","continue doing something",hard
"get out of","avoid doing something that you should do",hard
"get round","if news gets round, a lot of people hear it",hard
"give out","give something to several people",hard
"go about","start dealing with a problem, situation or job in a particular way",hard
"go along","go to a meeting or event",hard
"go along with","agree with someone or agree with something that someone has suggested",hard
"go back on","stop kept a promise, etc",hard
"go down (to)","produce a particular reaction",hard
"go for","be sold for a particular amount of money",hard
"go round","be enough for everyone in a group",hard
"go through","experience a difficult or unpleasant situation, feeling, etc",hard
"go up","be built",hard
"hand over","give someone else control of or responsibility for something",hard
"hit on","suddenly have an idea; discover something by chance",hard
"kick off","begin (a football match) kick-off (n)",hard
"let out","make a sound",hard
"look on","watch something without taking part onlooker (n)",hard
"pass away/on","die (used to avoid saying 'die' when you think this might upset someone)",hard
"talk round","discuss something in a general way and without dealing with the most important issues",hard
"21","twenty-one",easy
"22","twenty-two",easy
"33","thirty-three",easy
"44","forty-four",easy
"55","fifty-five",easy
"66","sixty-six",easy
"77","seventy-seven",easy
"88","eighty-eight",easy
"99","ninety-nine",easy
"100","a hundred",easy
"bricklayer","A person who builds walls or buildings.",easy
"astronaut","A person trained to travel in space.",easy
"shepherd","A person who looks after sheep.",easy
"igloo","A type of house made from hard snow.",easy
"soap opera","A TV series about the lives of a group of characters.",easy
"spacesuit","A piece of clothing people wear when they travel in space.",easy
"wigwam","A type of tent made from animal skin.",easy
"wizard","A man that people believe has got magical powers.",easy
"cabin cruiser","A type of boat with a covering over the top.",easy
"checkout","The place in a shop where you pay for what you buy.",easy
"Space station vacations","holidays at a space station",easy
"Intelligent kitchens","kitchens with a fridge, cooker, etc that you can programme to do things for you",easy
"Solar-powered houses","houses that use energy from the sun for heat, light, etc",easy
"Nutrition pills","food in the form of a pill",easy
"Air cars","a type of car that flies in the air",easy
"Emotional clothes","clothes that change to suit your mood",easy
"Coal","a black substance that you put on the fire (a symbol of good luck at New Year)",easy
"Shortbread (shortie)","a type of biscuit, popular in Scotland",easy
"First-footer","the first person to step into your house after midnight on December 31st (a tall, dark handsome man brings good luck)",easy
"Bells","metal objects that make a ringing sound",easy
"Black bun","a fruit cake that people eat at Hogmanay",easy
"They killed the dragon in cold blood.","in a cruel, unfeeling, violent way",medium
"Trying to get information from him is like getting blood out of a stone!","very difficult",medium
"My family means more to me than friends. After all, blood is thicker than water.","family relationships are the most important",medium
"He sweated blood to set up the company.","work extremely hard",medium
"Cruelty to animals makes my blood boil.","make someone very angry",medium
"wash","the dishes",medium
"dust","the furniture",medium
"make","the beds",medium
"iron","the clothes",medium
"vacuum","the carpets",medium
"clean","the windows",medium
"mop","the floors",medium
"mow","the lawn",medium
"shed light","clarify",hard
"spawn","give birth to",hard
"the status quo","the normal and accepted order of things",hard
"the establishment","the government and ruling classes of a country",hard
"subjugated","under the control of an enemy, enslaved",hard
"plight","hardship, destitution",hard
"an instrument of change","an event or means by which change occurs",hard
"a spiritual dimension","a less materialistic element in an ideology",hard
"water off a duck’s back","(criticism) has no effect on sb",hard
"water under the bridge","(event/mistake) now forgotten or no longer important",hard
"in(to) deep water","involved in complicated, dangerous affairs",hard
"a fish out of water","sb who feels uncomfortable in unfamiliar surroundings",hard
"come hell or high water","whatever the difficulties",hard
"in hot water","in trouble",hard
"take to sth like a duck to water","do sth new very easily",hard
"pour oil on troubled waters","do sth to calm or settle a difficult situation/ dispute",hard
"mince my","words",hard
"a man of","few words",hard
"paint a","pretty picture",hard
"by word","of mouth",hard
"speak your","mind",hard
"let you","in on a secret",hard
"making","small talk",hard
"hold my","tongue",hard
"the talk","of the town",hard
"talk is","cheap",hard
"totally","unjustified",hard
"in a badly neglected","state",hard
"deeply","concerned",hard
"absolutely","enchanting",hard
"of great historical","interest",hard
"are being gradually","restored",hard
"provides a valuable","insight",hard
"one of the few remaining","examples",hard
"to wander","around",hard
"to spend hours","exploring",hard
"The specialist held","degrees in cardiology from a number of institutions",hard
"Our local GP is held","in high esteem by the community.",hard
"The nurse asked me how","I had been keeping.",hard
"Hold","still while I give you this injection.",hard
"I've been trying to get hold","of a doctor all morning.",hard
"wind, solar","power",hard
"natural, man-made","disaster",hard
"noise, air","pollution",hard
"industrial, nuclear","waste",hard
"wild-life, water","conservation",hard
"extinct, endangered","species",hard
"noxious, toxic","fumes",hard
"Action is needed now before","it is too late.",hard
"It should not be forgotten","that the public also have a duty to act on this issue.",hard
"If we allow this situation to continue,","the consequences could be disastrous.",hard
"It is only","a matter of time before the situation becomes uncontrollable.",hard
"The government is obviously either","unable or unwilling to act.",hard
"Yet it would be a mistake to","overlook the fact that schools play a vital role in this.",hard
"We have known about","the situation for some time and yet very little action has been taken to correct it.",hard
"Although some measures","have been implemented, these are clearly not enough.",hard
"give in to/to back down","submit/acquiesce/surrender to",hard
"put up with/to stand for","tolerate",hard
"tackle/get to grips with","deal with",hard
"take advantage of","exploit",hard
"frown upon/take a dim view of","condemn",hard
"talk sb into","persuade to",hard
"give it a go","make an attempt",hard
"Just dropping you a quick line to","let you know I've done all the things you asked me to about the party.",hard
"I am writing with regard to","the article which you published on 6th January, entitled 'Think Before You Spend'.",hard
"I thought I'd write to you now while","things are quiet.",hard
"It was great to hear your news and","that you've settled in to your new surroundings.",hard
